energy_meV,median,lower,upper
173.0,15.224669502429451,12.987651819737012,17.206675090453068
174.0,15.265180117355348,13.0188425455981,17.253910547534414
175.0,15.30558350969987,13.050051104401547,17.30113717737276
176.0,15.345880526365777,13.081067788892312,17.34814272417809
177.0,15.386072003165332,13.112299153779771,17.394856419805794
178.0,15.426158765022603,13.143261864016877,17.441629380627706
179.0,15.466141626171,13.174361036226165,17.488033059624165
180.0,15.506021390346236,13.204885961375153,17.534372170716452
181.0,15.545798850974842,13.235696889341746,17.580553834077314
182.0,15.585474791358346,13.266334426397146,17.626692760815427
183.0,15.625049984853234,13.297293897438594,17.672771590759865
184.0,15.664525195046858,13.327842985156341,17.71871282090129
185.0,15.703901175929293,13.358511834212095,17.76468696822691
186.0,15.743178672061406,13.388966057455537,17.810396372107572
187.0,15.782358418739094,13.419140362712593,17.855936647930488
188.0,15.82144114215391,13.449321233312375,17.901500209501215
189.0,15.860427559550093,13.479456174068883,17.946838052148138
190.0,15.899318379378148,13.509428106103234,17.99201969148245
191.0,15.938114301445056,13.539556274803443,18.037066103181385
192.0,15.976816017061193,13.569443167780479,18.082175202279924
193.0,16.015424209184058,13.599324954011438,18.12712006683419
194.0,16.05393955255888,13.629540208376563,18.17181487283966
195.0,16.092362713856225,13.659442734597887,18.21647068076604
196.0,16.13069435180661,13.688846617653635,18.261105048090357
197.0,16.168935117332296,13.718870990544248,18.305461466153634
198.0,16.207085653676206,13.74856092878135,18.349686975028682
199.0,16.24514659652823,13.777846675894386,18.393781385291714
200.0,16.283118574148766,13.807100965848846,18.43784374468377
201.0,16.321002207489713,13.836463279009488,18.482080419940004
202.0,16.35879811031299,13.865523847032042,18.525974396798752
203.0,16.396506889306497,13.894861939108004,18.569893487778618
204.0,16.43412914419779,13.92424404768178,18.613674539309184
205.0,16.471665467865318,13.953267441442263,18.657381463817067
206.0,16.50911644644748,13.982076837853663,18.700604111450623
207.0,16.546482659449357,14.010874168660091,18.7441916961638
208.0,16.583764679847388,14.039938471718694,18.78760527169247
209.0,16.62096307419186,14.068651617456498,18.830815087570883
210.0,16.658078402707353,14.097522726242108,18.873903410244214
211.0,16.695111219391165,14.12623580759962,18.916737143031735
212.0,16.732062072109837,14.154957312065546,18.959543079445925
213.0,16.76893150269367,14.183445657170877,19.00226093825243
214.0,16.805720047029457,14.21221864125324,19.045022315410947
215.0,16.842428235151356,14.24081459788248,19.08770268767938
216.0,16.879056591329952,14.26917671491381,19.130337611501982
217.0,16.915605634159682,14.297393967000891,19.172949781861487
218.0,16.95207587664444,14.325912715241067,19.2154341833054
219.0,16.98846782628163,14.35422055362625,19.257512689175613
220.0,17.024781985144532,14.38225945778898,19.299508668885924
221.0,17.061018849963137,14.410572614090873,19.341795030264567
222.0,17.097178912203415,14.438483028592737,19.38385617793669
223.0,17.13326265814509,14.466515577764863,19.425678209330414
224.0,17.16927056895792,14.494270682659282,19.467587601665574
225.0,17.20520312077658,14.522153491618816,19.50936246534018
226.0,17.241060784774113,14.549709284567212,19.55100355387679
227.0,17.27684402723401,14.577474729335217,19.592615212199735
228.0,17.312553309620945,14.60525143090767,19.633968489302177
229.0,17.348189088650233,14.633006750634674,19.67526878158897
230.0,17.383751816355943,14.660581478023524,19.71668250776318
231.0,17.41924194015785,14.688365629248697,19.757721793266246
232.0,17.45465990292707,14.716049738123706,19.798787687552014
233.0,17.49000614305054,14.743661422273949,19.839864939780984
234.0,17.525281094494357,14.771280952595847,19.880754793636548
235.0,17.560485186865904,14.79847763606714,19.921631263934486
236.0,17.595618845474934,14.825821319611693,19.96232772886202
237.0,17.63068249139347,14.85335342897978,20.002999789808207
238.0,17.665676541514735,14.880394870543775,20.043628430406496
239.0,17.700601408610943,14.907572047595945,20.08398105982142
240.0,17.735457501390126,14.934419050005154,20.124480274141888
241.0,17.77024522455194,14.96161670294267,20.164927060845088
242.0,17.80496497884246,14.988432691888455,20.205290283421046
243.0,17.839617161108087,15.015646432377135,20.245450098553068
244.0,17.87420216434843,15.042105067420678,20.28569493028885
245.0,17.908720377768304,15.069087814820582,20.32591852703346
246.0,17.943172186828875,15.095791082308278,20.36579735369359
247.0,17.977557973297845,15.122680629840787,20.405729668735408
248.0,18.011878115298824,15.149431300196651,20.44564357931047
249.0,18.04613298735982,15.175973684574645,20.485377181771742
250.0,18.080322960460965,15.202679191350857,20.524944737275707
251.0,18.114448402081354,15.229229523996624,20.564576006561392
252.0,18.148509676245137,15.255753252926667,20.604051380866714
253.0,18.182507143566838,15.281968190992538,20.64337607199157
254.0,18.216441161295872,15.30855635710672,20.682804635864628
255.0,18.25031208336039,15.334969905356449,20.722101264357022
256.0,18.28412026041029,15.361069217268351,20.761327660553942
257.0,18.3178660398596,15.387512803157053,20.80059451029328
258.0,18.35154976592814,15.413716067015995,20.83977055288564
259.0,18.385171779682477,15.440073393714082,20.878789510086765
