mass_eV,chi,q_disc,probability
0.014,7.279e-12,511.4727680980765,0.0
0.014,9.237e-12,511.4727680980765,0.013986013986013986
0.014,1.1721e-11,511.4727680980765,0.026973026973026972
0.014,1.4874e-11,511.4727680980765,0.06893106893106893
0.014,1.8874e-11,511.4727680980765,0.24375624375624375
0.014,2.395e-11,511.4727680980765,0.5994005994005994
0.014,3.0392e-11,511.4727680980765,0.9090909090909091
0.014,3.8566e-11,511.4727680980765,1.0
0.014,4.8939e-11,511.4727680980765,1.0
0.014,6.2102e-11,511.4727680980765,1.0
0.014,7.8805e-11,511.4727680980765,1.0
0.014,1e-10,511.4727680980765,1.0
0.0145,1e-13,559.1299036480956,0.0
0.0145,1.27e-13,559.1299036480956,0.0
0.0145,1.61e-13,559.1299036480956,0.0
0.0145,2.04e-13,559.1299036480956,0.0
0.0145,2.59e-13,559.1299036480956,0.0
0.0145,3.29e-13,559.1299036480956,0.0
0.0145,4.17e-13,559.1299036480956,0.0
0.0145,5.3e-13,559.1299036480956,0.0
0.0145,6.72e-13,559.1299036480956,0.0
0.0145,8.53e-13,559.1299036480956,0.0
0.0145,1.083e-12,559.1299036480956,0.0
0.0145,1.374e-12,559.1299036480956,0.0
0.0145,1.743e-12,559.1299036480956,0.0
0.0145,2.212e-12,559.1299036480956,0.0
0.0145,2.807e-12,559.1299036480956,0.0
0.0145,3.562e-12,559.1299036480956,0.0
0.0145,4.52e-12,559.1299036480956,0.0
0.0145,5.736e-12,559.1299036480956,0.0
0.0145,7.279e-12,559.1299036480956,0.0
0.0145,9.237e-12,559.1299036480956,0.0
0.0145,1.1721e-11,559.1299036480956,0.02197802197802198
0.0145,1.4874e-11,559.1299036480956,0.08191808191808192
0.0145,1.8874e-11,559.1299036480956,0.2547452547452547
0.0145,2.395e-11,559.1299036480956,0.6513486513486514
0.0145,3.0392e-11,559.1299036480956,0.9460539460539461
0.0145,3.8566e-11,559.1299036480956,1.0
0.0145,4.8939e-11,559.1299036480956,1.0
0.0145,6.2102e-11,559.1299036480956,1.0
0.0145,7.8805e-11,559.1299036480956,1.0
0.0145,1e-10,559.1299036480956,1.0
