mass_eV,chi_1pct,chi_5pct,chi_10pct,chi_20pct,chi_30pct,chi_40pct,chi_50pct,chi_60pct,chi_70pct,chi_80pct,chi_90pct
0.1024,1.1096216195332755e-11,1.9208609159951904e-11,2.2214324947009746e-11,2.538865765487558e-11,2.7467367533410073e-11,2.9716272891274446e-11,3.1594205288412885e-11,3.335760432621203e-11,3.5219425721469586e-11,3.71851628198436e-11,4.090675053319549e-11
0.1025,9.041065455111016e-12,2.04980148826801e-11,2.4849207507348105e-11,2.797908747052027e-11,3.093172509436828e-11,3.278384873819835e-11,3.474687347084804e-11,3.682743980551545e-11,3.925116434350393e-11,4.274015528768271e-11,4.6539278632062973e-11
0.1029,6.362647383468083e-12,8.551376338576544e-12,9.726841235336297e-12,1.118200988151445e-11,1.2245212885704891e-11,1.3081427589740284e-11,1.3974746652660389e-11,1.4928006169167376e-11,1.592713163315379e-11,1.6993128163609136e-11,1.8130471414184274e-11
0.1063,6.088364604765457e-12,7.450175909293564e-12,8.364494010122106e-12,9.673565287187267e-12,1.0487788196893914e-11,1.1370544157963713e-11,1.2121646258745113e-11,1.2792047554327479e-11,1.3499526148448697e-11,1.4246132642854369e-11,1.547322862816568e-11
0.1089,6.801189646445021e-12,9.651170487534137e-12,1.1732174621513799e-11,1.2794964665172541e-11,1.3954030353657511e-11,1.5096746693166684e-11,1.5972055743307233e-11,1.6898115193439833e-11,1.787786755066983e-11,1.8957925114459792e-11,2.130826850054486e-11
0.1103,3.372097083319899e-12,7.539425661637299e-12,9.425521260484485e-12,1.0776365651797563e-11,1.194567690886921e-11,1.2570147512797e-11,1.3227262858261459e-11,1.3918729477392778e-11,1.4646343112765954e-11,1.5884176844152437e-11,1.745377851294289e-11
0.1144,6.6579099547243345e-12,8.533868887206055e-12,9.82853676467629e-12,1.176361391696617e-11,1.247346449641678e-11,1.322614951847177e-11,1.4024253737622215e-11,1.487051787994124e-11,1.5896978031917712e-11,1.6994847265423338e-11,1.816853700087952e-11
0.1187,6.801189646445021e-12,9.363958102591173e-12,1.031686473853296e-11,1.1981964070868017e-11,1.2779650564295649e-11,1.3630442186234163e-11,1.4537874354040423e-11,1.544418974885724e-11,1.63711970841031e-11,1.735384622468635e-11,1.8395476961333008e-11
0.1223,4.09830694777032e-12,8.159521171266378e-12,9.563406593832303e-12,1.0925834232162045e-11,1.2051695091715136e-11,1.2782627377990294e-11,1.3557890524202936e-11,1.4380173185895602e-11,1.5371681746632012e-11,1.6604635579760477e-11,1.7936483937228108e-11
0.1232,6.362647383468083e-12,9.264207797593497e-12,9.953920737477377e-12,1.1491215226429716e-11,1.2347225824791155e-11,1.311561854525307e-11,1.3931829891634453e-11,1.4798835713294595e-11,1.584604234945589e-11,1.6979789163704216e-11,1.8194652878341463e-11
