m_test,lower_2sigma,lower_1sigma,median,upper_1sigma,upper_2sigma,limit
1.988999999999999935e-01,1.660830281762992398e-11,2.037797321315255108e-11,2.440053514998648216e-11,2.793290307308133237e-11,3.162875870884468916e-11,2.673727398215565544e-11
2.064000000000000001e-01,1.558856405332321859e-11,1.864838796033208028e-11,2.274098362016036533e-11,2.644657380266474885e-11,3.044632700989133677e-11,2.534468353638189680e-11
2.142000000000000015e-01,1.657306508408188430e-11,1.960238183706622876e-11,2.416522059330012405e-11,2.748755994521781890e-11,3.039661359418781838e-11,2.639012810937715699e-11
2.168000000000000205e-01,1.762932469467344086e-11,2.219094900945411046e-11,2.621490370798338446e-11,2.969224296934583561e-11,3.396059071750615321e-11,2.849832265514356212e-11
2.204000000000000126e-01,1.643241320461656496e-11,2.000472030871329740e-11,2.476103645597122221e-11,2.845186929558077063e-11,3.194828119965414151e-11,2.751101480769039334e-11
2.221999999999999809e-01,1.762932469467344086e-11,2.181588812438896150e-11,2.629239650457370549e-11,3.053925715533118353e-11,3.473031870101324358e-11,2.880876502887246441e-11
2.265000000000000069e-01,1.689383438612227074e-11,2.133678338353817385e-11,2.673641713430483682e-11,3.058327540471082256e-11,3.422643474235334806e-11,2.922029363804588000e-11
2.305000000000000104e-01,1.744262198746235701e-11,2.144716634034413502e-11,2.569396259761407224e-11,2.965766667727679089e-11,3.313061411176014498e-11,2.840315287356468840e-11
2.348999999999999977e-01,1.835780287194593370e-11,2.238089059906940718e-11,2.676755046566354826e-11,3.092963810459716408e-11,3.474532193744808869e-11,2.949686187450974065e-11
2.391999999999999960e-01,1.759192066531269601e-11,2.190968240457339373e-11,2.627976128530786983e-11,2.981154936587534338e-11,3.374313662163700838e-11,2.845565737196399435e-11
2.481999999999999762e-01,1.638358429653690215e-11,1.970228237760618488e-11,2.345764868016898658e-11,2.701774531349391827e-11,3.059980528723219296e-11,2.591672510893891030e-11
2.575000000000000067e-01,1.511129076654765804e-11,1.870116567710822398e-11,2.268425369617979813e-11,2.648639234156203431e-11,2.971973888923375613e-11,2.520487986120169465e-11
